stockid,assessid,stocklong,bioid,biovalue,
ATLCROAKMATLC,ASMFC-ATLCROAKMATLC-1973-2002-STANTON,Atlantic croaker Mid-Atlantic Coast,Fmsy-1/yr,0.407,
ATLCROAKMATLC,ASMFC-ATLCROAKMATLC-1973-2002-STANTON,Atlantic croaker Mid-Atlantic Coast,SSBmsy-MT,56467,
PANDALGOM,ASMFC-PANDALGOM-1960-2009-IDOINE,Northern shrimp Gulf of Maine,Fmsy-1/yr,0.1672,
PANDALGOM,ASMFC-PANDALGOM-1960-2009-IDOINE,Northern shrimp Gulf of Maine,Bmsy-MT,29920,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,MSY-MT,10139,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,SSBmsy-MT,271000,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,Fmsy-1/yr,0.04,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,MSY-MT,4059,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,SSBmsy-MT,22243,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,Fmsy-1/yr,0.19,
ATHAL5YZ,NEFSC-ATHAL5YZ-1800-2007-COL,Atlantic Halibut NAFO-5YZ,Bmsy-MT,49000,
ATHAL5YZ,NEFSC-ATHAL5YZ-1800-2007-COL,Atlantic Halibut NAFO-5YZ,Fmsy-1/yr,0.06,
ATHAL5YZ,NEFSC-ATHAL5YZ-1800-2007-COL,Atlantic Halibut NAFO-5YZ,MSY-MT,3500,
ATHAL5YZ,NEFSC-ATHAL5YZ-1800-2007-COL,Atlantic Halibut NAFO-5YZ,SSBmsy-MT,49000,
BLUEFISHATLC,NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD,Bluefish Atlantic Coast,Bmsy-MT,147052,
