stockid,assessid,stocklong,bioid,biovalue
BOCACCSPCOAST,PFMC-BOCACCSPCOAST-1930-2012-KURIYAMA,Bocaccio Southern Pacific Coast,SSBmsy,45476
BOCACCSPCOAST,PFMC-BOCACCSPCOAST-1930-2012-KURIYAMA,Bocaccio Southern Pacific Coast,FMSY-1/yr,0.084
BOCACCSPCOAST,PFMC-BOCACCSPCOAST-1930-2012-KURIYAMA,Bocaccio Southern Pacific Coast,MSY-MT,1378
COWCODSCAL,PFMC-COWCODSCAL-1930-2012-KURIYAMA,Cowcod Southern California,SSB0-MT,1549
COWCODSCAL,PFMC-COWCODSCAL-1930-2012-KURIYAMA,Cowcod Southern California,SSBmsy-MT,629
COWCODSCAL,PFMC-COWCODSCAL-1930-2012-KURIYAMA,Cowcod Southern California,Fmsy-1/MT,0.055
DKROCKPCOAST,NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA,Darkblotched rockfish Pacific Coast,B0-MT,36171
DKROCKPCOAST,NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA,Darkblotched rockfish Pacific Coast,Fmsy-1/yr,0.0665
DKROCKPCOAST,NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA,Darkblotched rockfish Pacific Coast,MSY-MT,742
DKROCKPCOAST,NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA,Darkblotched rockfish Pacific Coast,SSBmsy-E08eggs,819
PHAKEPCOAST,NWFSC-PHAKEPCOAST-1966-2014-KURIYAMA,Pacific hake Pacific Coast,SSBmsy-MT,347000
PHAKEPCOAST,NWFSC-PHAKEPCOAST-1966-2014-KURIYAMA,Pacific hake Pacific Coast,MSY-MT,363000
PHAKEPCOAST,NWFSC-PHAKEPCOAST-1966-2014-KURIYAMA,Pacific hake Pacific Coast,Fmsy-1/T,0.342
PHAKEPCOAST,NWFSC-PHAKEPCOAST-1966-2014-KURIYAMA,Pacific hake Pacific Coast,B0-MT,2132000
AUROPCOAST,NWFSC-AUROPCOAST-1916-2013-KURIYAMA,Aurora rockfish Pacific Coast,SSBmsy-MT,648
AUROPCOAST,NWFSC-AUROPCOAST-1916-2013-KURIYAMA,Aurora rockfish Pacific Coast,MSY-MT,79
AUROPCOAST,NWFSC-AUROPCOAST-1916-2013-KURIYAMA,Aurora rockfish Pacific Coast,Umsy-ratio,0.051
ROBLPCOAST,NWFSC-ROBLPCOAST-1916-2013-KURIYAMA,Rougheye and Blackspotted rockfish complex Pacific Coast,B0-MT,5394
ROBLPCOAST,NWFSC-ROBLPCOAST-1916-2013-KURIYAMA,Rougheye and Blackspotted rockfish complex Pacific Coast,Umsy-ratio,0.053
ROBLPCOAST,NWFSC-ROBLPCOAST-1916-2013-KURIYAMA,Rougheye and Blackspotted rockfish complex Pacific Coast,SSBmsy-MT,1305
ROBLPCOAST,NWFSC-ROBLPCOAST-1916-2013-KURIYAMA,Rougheye and Blackspotted rockfish complex Pacific Coast,MSY-mt,230
LSTHORNHPCOAST,NWFSC-LSTHORNHPCOAST-1964-2013-KURIYAMA,Longspine thornyhead Pacific Coast,SSBmsy-MT,13108
LSTHORNHPCOAST,NWFSC-LSTHORNHPCOAST-1964-2013-KURIYAMA,Longspine thornyhead Pacific Coast,Umsy-ratio,0.071
LSTHORNHPCOAST,NWFSC-LSTHORNHPCOAST-1964-2013-KURIYAMA,Longspine thornyhead Pacific Coast,MSY-MT,2529
PSOLEPCOAST,PFMC-PSOLEPCOAST-1930-2012-KURIYAMA,Petrale sole Pacific Coast,SSBmsy-MT,7146
PSOLEPCOAST,PFMC-PSOLEPCOAST-1930-2012-KURIYAMA,Petrale sole Pacific Coast,Umsy-ratio,0.19
PSOLEPCOAST,PFMC-PSOLEPCOAST-1930-2012-KURIYAMA,Petrale sole Pacific Coast,MSY-MT,2761
SSTHORNHPCOAST,NWFSC-SSTHORNHPCOAST-1901-2012-KURIYAMA,Shortspine thornyhead Pacific Coast,SSBmsy-MT,64600
SSTHORNHPCOAST,NWFSC-SSTHORNHPCOAST-1901-2012-KURIYAMA,Shortspine thornyhead Pacific Coast,MSY-MT,2062
SSTHORNHPCOAST,NWFSC-SSTHORNHPCOAST-1901-2012-KURIYAMA,Shortspine thornyhead Pacific Coast,Umsy-ratio,0.018
POLLNE,NEFSC-POLLNE-1963-2009-KURIYAMA,Pollock NAFO,SSBmsy-MT,91000
POLLNE,NEFSC-POLLNE-1963-2009-KURIYAMA,Pollock NAFO,ERmsy-ratio,0.25
WINFLOUNSNEMATL,NEFSC-WINFLOUNSNEMATL-1981-2010-KURIYAMA,Winter Flounder Southern New England-Mid Atlantic,SSBmsy-MT,43661
WINFLOUNSNEMATL,NEFSC-WINFLOUNSNEMATL-1981-2010-KURIYAMA,Winter Flounder Southern New England-Mid Atlantic,Fmsy,0.29
WINFLOUNSNEMATL,NEFSC-WINFLOUNSNEMATL-1981-2010-KURIYAMA,Winter Flounder Southern New England-Mid Atlantic,MSY-MT,11728
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSBmsy-MT,54753
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,Fmsy,0.18
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,MSY-MT,5254
YELLSNEMATL,NEFSC-YELLSNEMATL-1973-2011-KURIYAMA,Yellowtail Flounder Southern New England-Mid Atlantic,Fmsy,0.316
YELLSNEMATL,NEFSC-YELLSNEMATL-1973-2011-KURIYAMA,Yellowtail Flounder Southern New England-Mid Atlantic,SSBmsy-MT,2995
YELLSNEMATL,NEFSC-YELLSNEMATL-1973-2011-KURIYAMA,Yellowtail Flounder Southern New England-Mid Atlantic,MSY-MT,773
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,Fmsy,0.18
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSBmsy-MT,186535
WHAKEGBGOM,NEFSC-WHAKEGBGOM-1963-2011-KURIYAMA,White hake Georges Bank / Gulf of Maine,SSBmsy-MT,32400
WHAKEGBGOM,NEFSC-WHAKEGBGOM-1963-2011-KURIYAMA,White hake Georges Bank / Gulf of Maine,Fmsy,0.2
WHAKEGBGOM,NEFSC-WHAKEGBGOM-1963-2011-KURIYAMA,White hake Georges Bank / Gulf of Maine,MSY-MT,5630
HAD5Y,NEFSC-HAD5Y-2004-2013-KURIYAMA,Haddock NAFO-5Y,SSBmsy-MT,4108
HAD5Y,NEFSC-HAD5Y-2004-2013-KURIYAMA,Haddock NAFO-5Y,Fmsy,0.46
BLACKROCKNPCOAST,NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH,black rockfish northern pacific coast,SBmsy-MT,4947
