stockid,assessid,stocklong,tsid,tsyear,tsvalue,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1913,7,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1914,30,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1915,40,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1916,53,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1917,82,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1918,73,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1919,25,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1920,31,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1921,13,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1922,9,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1923,7,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1924,40,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1925,25,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1926,30,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1927,30,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1928,57,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1929,34,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1930,54,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1931,108,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1932,60,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1933,120,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1934,519,,,,,,,,,,,,,,,,,
