stockid,assessid,stocklong,tsid,tsyear,tsvalue,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,F-1/yr,1913,0.0000113,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,F-1/yr,1914,0.0000466,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,F-1/yr,1915,0.0000629,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,F-1/yr,1916,0.0000831,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,F-1/yr,1917,0.000128972,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,F-1/yr,1918,0.000114125,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,F-1/yr,1919,0.0000388,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,F-1/yr,1920,0.000048,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,F-1/yr,1921,0.0000196,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,F-1/yr,1922,0.0000134,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,F-1/yr,1923,0.0000108,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,F-1/yr,1924,0.000062,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,F-1/yr,1925,0.0000386,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,F-1/yr,1926,0.0000464,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,F-1/yr,1927,0.0000468,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,F-1/yr,1928,0.0000889,,,,,,
