stockid,assessid,stocklong,tsid,tsyear,tsvalue
YELLSNEMATL,NEFSC-YELLSNEMATL-1973-2011-KURIYAMA,Yellowtail Flounder Southern New England-Mid Atlantic,SSB-MT,1973,21760
YELLSNEMATL,NEFSC-YELLSNEMATL-1973-2011-KURIYAMA,Yellowtail Flounder Southern New England-Mid Atlantic,SSB-MT,1974,9738
YELLSNEMATL,NEFSC-YELLSNEMATL-1973-2011-KURIYAMA,Yellowtail Flounder Southern New England-Mid Atlantic,SSB-MT,1975,3422
YELLSNEMATL,NEFSC-YELLSNEMATL-1973-2011-KURIYAMA,Yellowtail Flounder Southern New England-Mid Atlantic,SSB-MT,1976,4147
YELLSNEMATL,NEFSC-YELLSNEMATL-1973-2011-KURIYAMA,Yellowtail Flounder Southern New England-Mid Atlantic,SSB-MT,1977,4460
YELLSNEMATL,NEFSC-YELLSNEMATL-1973-2011-KURIYAMA,Yellowtail Flounder Southern New England-Mid Atlantic,SSB-MT,1978,5809
YELLSNEMATL,NEFSC-YELLSNEMATL-1973-2011-KURIYAMA,Yellowtail Flounder Southern New England-Mid Atlantic,SSB-MT,1979,7978
YELLSNEMATL,NEFSC-YELLSNEMATL-1973-2011-KURIYAMA,Yellowtail Flounder Southern New England-Mid Atlantic,SSB-MT,1980,8983
YELLSNEMATL,NEFSC-YELLSNEMATL-1973-2011-KURIYAMA,Yellowtail Flounder Southern New England-Mid Atlantic,SSB-MT,1981,10464
YELLSNEMATL,NEFSC-YELLSNEMATL-1973-2011-KURIYAMA,Yellowtail Flounder Southern New England-Mid Atlantic,SSB-MT,1982,17896
YELLSNEMATL,NEFSC-YELLSNEMATL-1973-2011-KURIYAMA,Yellowtail Flounder Southern New England-Mid Atlantic,SSB-MT,1983,17077
YELLSNEMATL,NEFSC-YELLSNEMATL-1973-2011-KURIYAMA,Yellowtail Flounder Southern New England-Mid Atlantic,SSB-MT,1984,5904
YELLSNEMATL,NEFSC-YELLSNEMATL-1973-2011-KURIYAMA,Yellowtail Flounder Southern New England-Mid Atlantic,SSB-MT,1985,2668
