"","stockid","assessid","stocklong","tsid","tsyear","tsvalue","west_east"
"626","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","F-1/yr",1916,0,"NWFSC"
"627","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","F-1/yr",1917,0,"NWFSC"
"628","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","F-1/yr",1918,0,"NWFSC"
"629","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","F-1/yr",1919,0,"NWFSC"
"630","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","F-1/yr",1920,0,"NWFSC"
"631","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","F-1/yr",1921,0,"NWFSC"
"632","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","F-1/yr",1922,0,"NWFSC"
"633","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","F-1/yr",1923,0,"NWFSC"
"634","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","F-1/yr",1924,0,"NWFSC"
"635","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","F-1/yr",1925,0,"NWFSC"
"636","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","F-1/yr",1926,0,"NWFSC"
"637","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","F-1/yr",1927,0,"NWFSC"
"638","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","F-1/yr",1928,0,"NWFSC"
"639","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","F-1/yr",1929,0,"NWFSC"
"640","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","F-1/yr",1930,0,"NWFSC"
"641","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","F-1/yr",1931,0,"NWFSC"
"642","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","F-1/yr",1932,0,"NWFSC"
"643","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","F-1/yr",1933,0,"NWFSC"
"644","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","F-1/yr",1934,0,"NWFSC"
"645","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","F-1/yr",1935,0,"NWFSC"
"646","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","F-1/yr",1936,0,"NWFSC"
"647","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","F-1/yr",1937,0.002,"NWFSC"
"648","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","F-1/yr",1938,0,"NWFSC"
"649","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","F-1/yr",1939,0.005,"NWFSC"
"650","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","F-1/yr",1940,0.007,"NWFSC"
"651","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","F-1/yr",1941,0.009,"NWFSC"
"652","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","F-1/yr",1942,0.004,"NWFSC"
"653","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","F-1/yr",1943,0.018,"NWFSC"
"654","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","F-1/yr",1944,0.004,"NWFSC"
