"","metric.and.spp","stockid.x","assessid.x","stocklong.x","tsid","tsyear","tsvalue","stockid.y","assessid.y","stocklong.y","bioid","biovalue","ratio"
"1","B-MT atlantic butterfish gulf of maine / cape hatteras",NA,NA,NA,NA,NA,NA,"BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","Bmsy-MT",22798,NA
"2","B-MT atlantic halibut nafo-5yz",NA,NA,NA,NA,NA,NA,"ATHAL5YZ","NEFSC-ATHAL5YZ-1800-2007-COL","atlantic halibut nafo-5yz","Bmsy-MT",49000,NA
"3","B-MT atlantic surfclam mid-atlantic coast",NA,NA,NA,NA,NA,NA,"SURFMATLC","NEFSC-SURFMATLC-1965-2008-JACOBSON","atlantic surfclam mid-atlantic coast","Bmsy-MT",9e+05,NA
"4","B-MT black sea bass mid-atlantic coast",NA,NA,NA,NA,NA,NA,"BSBASSMATLC","NEFSC-BSBASSMATLC-1968-2007-SHEPHERD","black sea bass mid-atlantic coast","Bmsy-MT",12892.3,NA
"5","B-MT blackgill rockfish  pacific coast",NA,NA,NA,NA,NA,NA,"BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA","blackgill rockfish  pacific coast","B0-MT",12927.2,NA
"6","B-MT blackgill rockfish  pacific coast",NA,NA,NA,NA,NA,NA,"BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA","blackgill rockfish  pacific coast","Bmsy-MT",5063,NA
"7","B-MT blue rockfish california",NA,NA,NA,NA,NA,NA,"BLUEROCKCAL","NWFSC-BLUEROCKCAL-1916-2007-BRANCH","blue rockfish california","B0-MT",13223,NA
"8","B-MT bluefish atlantic coast",NA,NA,NA,NA,NA,NA,"BLUEFISHATLC","NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD","bluefish atlantic coast","Bmsy-MT",147052,NA
"9","B-MT cabezon northern california",NA,NA,NA,NA,NA,NA,"CABEZNCAL","PFMC-CABEZNCAL-1930-2009-CHING","cabezon northern california","B0-MT",1835,NA
"10","B-MT cabezon southern california",NA,NA,NA,NA,NA,NA,"CABEZSCAL","PFMC-CABEZSCAL-1930-2009-CHING","cabezon southern california","B0-MT",470,NA
"11","B-MT california scorpionfish southern california",NA,NA,NA,NA,NA,NA,"CALSCORPSCAL","SWFSC-CALSCORPSCAL-1990-2005-STANTON","california scorpionfish southern california","B0-MT",2007,NA
"12","B-MT canary rockfish pacific coast",NA,NA,NA,NA,NA,NA,"CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA","canary rockfish pacific coast","B0-MT",70664,NA
"13","B-MT chilipepper southern pacific coast",NA,NA,NA,NA,NA,NA,"CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH","chilipepper southern pacific coast","B0-MT",45057,NA
"97","B-MT dover sole pacific coast",NA,NA,NA,NA,NA,NA,"DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA","dover sole pacific coast","B0-MT",821271,NA
"98","B-MT gopher rockfish southern pacific coast",NA,NA,NA,NA,NA,NA,"GOPHERSPCOAST","SWFSC-GOPHERSPCOAST-1965-2005-STANTON","gopher rockfish southern pacific coast","B0-MT",2440,NA
"99","B-MT greenspotted rockfish pacific coast north",NA,NA,NA,NA,NA,NA,"GRSPROCKNCAL","SWFSC-GRSPROCKNCAL-1916-2010-STACHURA","greenspotted rockfish pacific coast north","B0-MT",3160,NA
"100","B-MT greenspotted rockfish pacific coast south",NA,NA,NA,NA,NA,NA,"GRSPROCKSCAL","SWFSC-GRSPROCKSCAL-1916-2010-STACHURA","greenspotted rockfish pacific coast south","B0-MT",4331,NA
"101","B-MT greenstriped rockfish pacific coast",NA,NA,NA,NA,NA,NA,"GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","B0-MT",33526,NA
"102","B-MT kelp greenling oregon coast",NA,NA,NA,NA,NA,NA,"KELPGREENLINGORECOAST","NWFSC-KELPGREENLINGORECOAST-1979-2005-STANTON","kelp greenling oregon coast","B0-MT",1295,NA
"103","B-MT lingcod northern pacific coast",NA,NA,NA,NA,NA,NA,"LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA","lingcod northern pacific coast","B0-MT",44536.3,NA
"104","B-MT monkfish gulf of maine / cape hatteras",NA,NA,NA,NA,NA,NA,"MONK5YCHATT","NEFSC-MONK5YCHATT-1980-2009-PROVOST","monkfish gulf of maine / cape hatteras","Bmsy-MT",129002,NA
"105","B-MT monkfish gulf of maine / northern georges bank",NA,NA,NA,NA,NA,NA,"MONKGOMNGB","NEFSC-MONKGOMNGB-1964-2006-RICHARDS","monkfish gulf of maine / northern georges bank","Bmsy-MT",49000,NA
"106","B-MT northern shrimp gulf of maine",NA,NA,NA,NA,NA,NA,"PANDALGOM","ASMFC-PANDALGOM-1960-2009-IDOINE","northern shrimp gulf of maine","Bmsy-MT",29920,NA
"107","B-MT ocean pout northwestern atlantic coast",NA,NA,NA,NA,NA,NA,"OPOUTNWATLC","NEFSC-OPOUTNWATLC-1962-2008-WIGLEY","ocean pout northwestern atlantic coast","Bmsy-MT",4.94,NA
"108","B-MT pacific hake pacific coast",NA,NA,NA,NA,NA,NA,"PHAKEPCOAST","NWFSC-PHAKEPCOAST-1966-2014-KURIYAMA","pacific hake pacific coast","B0-MT",2132000,NA
"109","B-MT rougheye and blackspotted rockfish complex pacific coast",NA,NA,NA,NA,NA,NA,"ROBLPCOAST","NWFSC-ROBLPCOAST-1916-2013-KURIYAMA","rougheye and blackspotted rockfish complex pacific coast","B0-MT",5394,NA
"110","B-MT sablefish pacific coast",NA,NA,NA,NA,NA,NA,"SABLEFPCOAST","NWFSC-SABLEFPCOAST-1900-2011-STACHURA","sablefish pacific coast","B0-MT",537893,NA
"111","B-MT scup atlantic coast",NA,NA,NA,NA,NA,NA,"SCUPNWATLC","NEFSC-SCUPNWATLC-1960-2007-TERCEIRO","scup atlantic coast","Bmsy-MT",92044,NA
"112","B-MT shortbelly rockfish pacific coast",NA,NA,NA,NA,NA,NA,"SBELLYROCKPCOAST","SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH","shortbelly rockfish pacific coast","B0-MT",98400,NA
"113","B-MT splitnose rockfish pacific coast",NA,NA,NA,NA,NA,NA,"SNROCKPCOAST","NWFSC-SNROCKPCOAST-1905-2009-STANTON","splitnose rockfish pacific coast","B0-MT",87584,NA
"114","B-MT spotted spiny dogfish pacific coast",NA,NA,NA,NA,NA,NA,"SPSDOGPCOAST","NWFSC-SPSDOGPCOAST-1916-2011-STACHURA","spotted spiny dogfish pacific coast","B0-MT",304105,NA
"115","B-MT starry flounder northern pacific coast",NA,NA,NA,NA,NA,NA,"STFLOUNNPCOAST","SWFSC-STFLOUNNPCOAST-1970-2005-STANTON","starry flounder northern pacific coast","B0-MT",12102,NA
"116","B-MT starry flounder southern pacific coast",NA,NA,NA,NA,NA,NA,"STFLOUNSPCOAST","SWFSC-STFLOUNSPCOAST-1970-2005-STANTON","starry flounder southern pacific coast","B0-MT",5854,NA
"117","B-MT winter flounder rhode island",NA,NA,NA,NA,NA,NA,"WINFLOUNDRI","RIDEM-WINFLOUNDRI-1959-2007-COLLIE","winter flounder rhode island","Bmsy-MT",5478,NA
"118","B-MT yelloweye rockfish pacific coast",NA,NA,NA,NA,NA,NA,"YEYEROCKPCOAST","NWFSC-YEYEROCKPCOAST-1916-2011-STACHURA","yelloweye rockfish pacific coast","B0-MT",8882,NA
"119","B-MT yellowtail rockfish northern pacific coast",NA,NA,NA,NA,NA,NA,"YTROCKNPCOAST","NWFSC-YTROCKNPCOAST-1967-2005-STANTON","yellowtail rockfish northern pacific coast","B0-MT",120024,NA
"120","B-relative silver hake gulf of maine / northern georges bank",NA,NA,NA,NA,NA,NA,"SHAKEGOMNGB","NEFSC-SHAKEGOMNGB-1955-2005-COL","silver hake gulf of maine / northern georges bank","Bmsy-relative",6.63,NA
"121","B-relative silver hake southern georges bank / mid-atlantic",NA,NA,NA,NA,NA,NA,"SHAKESGBMATL","NEFSC-SHAKESGBMATL-1955-2005-COL","silver hake southern georges bank / mid-atlantic","Bmsy-relative",1.78,NA
"122","B-relative windowpane flounder - gulf of maine / georges bank",NA,NA,NA,NA,NA,NA,"WINDOWGOMGB","NEFSC-WINDOWGOMGB-1975-2007-HENDRICKSON","windowpane flounder - gulf of maine / georges bank","Bmsy-relative",1.4,NA
"123","B-relative windowpane southern new england-mid atlantic",NA,NA,NA,NA,NA,NA,"WINDOWSNEMATL","NEFSC-WINDOWSNEMATL-1975-2007-HENDRICKSON","windowpane southern new england-mid atlantic","Bmsy-relative",0.34,NA
"274","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1955,6623020000,NA,NA,NA,NA,NA,NA
"275","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1956,6611870000,NA,NA,NA,NA,NA,NA
"276","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1957,6598300000,NA,NA,NA,NA,NA,NA
"277","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1958,6585200000,NA,NA,NA,NA,NA,NA
"278","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1959,6565690000,NA,NA,NA,NA,NA,NA
"279","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1960,6569660000,NA,NA,NA,NA,NA,NA
"280","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1961,6562300000,NA,NA,NA,NA,NA,NA
"281","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1962,6562340000,NA,NA,NA,NA,NA,NA
"282","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1963,6577860000,NA,NA,NA,NA,NA,NA
"283","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1964,6587580000,NA,NA,NA,NA,NA,NA
"284","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1965,6600420000,NA,NA,NA,NA,NA,NA
"285","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1966,6609640000,NA,NA,NA,NA,NA,NA
"286","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1967,6592910000,NA,NA,NA,NA,NA,NA
"287","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1968,6560030000,NA,NA,NA,NA,NA,NA
"288","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1969,6543380000,NA,NA,NA,NA,NA,NA
"289","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1970,6503980000,NA,NA,NA,NA,NA,NA
"290","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1971,6476600000,NA,NA,NA,NA,NA,NA
"291","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1972,6424790000,NA,NA,NA,NA,NA,NA
"292","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1973,6337070000,NA,NA,NA,NA,NA,NA
"293","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1974,6304760000,NA,NA,NA,NA,NA,NA
"294","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1975,6249960000,NA,NA,NA,NA,NA,NA
"295","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1976,6169050000,NA,NA,NA,NA,NA,NA
"296","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1977,6074970000,NA,NA,NA,NA,NA,NA
"297","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1978,6001230000,NA,NA,NA,NA,NA,NA
"298","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1979,5954010000,NA,NA,NA,NA,NA,NA
"299","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1980,5930180000,NA,NA,NA,NA,NA,NA
"300","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1981,5691880000,NA,NA,NA,NA,NA,NA
"301","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1982,5675840000,NA,NA,NA,NA,NA,NA
"302","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1983,5491620000,NA,NA,NA,NA,NA,NA
"303","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1984,5430020000,NA,NA,NA,NA,NA,NA
"304","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1985,5359300000,NA,NA,NA,NA,NA,NA
"305","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1986,5295860000,NA,NA,NA,NA,NA,NA
"306","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1987,5304810000,NA,NA,NA,NA,NA,NA
"307","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1988,5263990000,NA,NA,NA,NA,NA,NA
"308","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1989,5039430000,NA,NA,NA,NA,NA,NA
"309","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1990,4815860000,NA,NA,NA,NA,NA,NA
"310","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1991,4806880000,NA,NA,NA,NA,NA,NA
"311","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1992,4796540000,NA,NA,NA,NA,NA,NA
"312","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1993,4818230000,NA,NA,NA,NA,NA,NA
"313","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1994,4767260000,NA,NA,NA,NA,NA,NA
"314","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1995,4628080000,NA,NA,NA,NA,NA,NA
"315","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1996,4512070000,NA,NA,NA,NA,NA,NA
"316","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1997,4389120000,NA,NA,NA,NA,NA,NA
"317","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1998,4254270000,NA,NA,NA,NA,NA,NA
