"","metric.and.spp","stockid.x","assessid.x","stocklong.x","tsid","tsyear","tsvalue","stockid.y","assessid.y","stocklong.y","bioid","biovalue","ratio"
"1","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1939,36632,NA,NA,NA,NA,NA,NA
"2","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1940,36653,NA,NA,NA,NA,NA,NA
"3","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1941,36667,NA,NA,NA,NA,NA,NA
"4","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1942,36676,NA,NA,NA,NA,NA,NA
"5","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1943,36681,NA,NA,NA,NA,NA,NA
"6","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1938,36606,NA,NA,NA,NA,NA,NA
"7","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1944,36554,NA,NA,NA,NA,NA,NA
"8","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1945,36218,NA,NA,NA,NA,NA,NA
"9","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1946,35613,NA,NA,NA,NA,NA,NA
"10","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1947,35307,NA,NA,NA,NA,NA,NA
"11","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1948,35087,NA,NA,NA,NA,NA,NA
"12","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1949,35023,NA,NA,NA,NA,NA,NA
"13","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1950,35000,NA,NA,NA,NA,NA,NA
"14","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1951,34967,NA,NA,NA,NA,NA,NA
"15","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1952,34912,NA,NA,NA,NA,NA,NA
"16","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1953,34849,NA,NA,NA,NA,NA,NA
"17","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1954,34821,NA,NA,NA,NA,NA,NA
"18","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1955,34757,NA,NA,NA,NA,NA,NA
"19","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1956,34650,NA,NA,NA,NA,NA,NA
"20","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1957,34454,NA,NA,NA,NA,NA,NA
"21","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1958,34194,NA,NA,NA,NA,NA,NA
"22","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1959,33992,NA,NA,NA,NA,NA,NA
"23","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1960,33838,NA,NA,NA,NA,NA,NA
"24","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1974,21848,NA,NA,NA,NA,NA,NA
"25","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1975,21521,NA,NA,NA,NA,NA,NA
"26","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1976,21196,NA,NA,NA,NA,NA,NA
"27","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1935,36533,NA,NA,NA,NA,NA,NA
"28","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1936,36552,NA,NA,NA,NA,NA,NA
"29","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1937,36579,NA,NA,NA,NA,NA,NA
"30","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1964,32966,NA,NA,NA,NA,NA,NA
"31","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1981,20168,NA,NA,NA,NA,NA,NA
"32","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1961,33621,NA,NA,NA,NA,NA,NA
"33","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1962,33426,NA,NA,NA,NA,NA,NA
"34","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1963,33207,NA,NA,NA,NA,NA,NA
"35","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1965,32829,NA,NA,NA,NA,NA,NA
"36","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1966,32465,NA,NA,NA,NA,NA,NA
"37","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1972,22867,NA,NA,NA,NA,NA,NA
"38","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1973,22496,NA,NA,NA,NA,NA,NA
"39","B darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B",1977,20815,NA,NA,NA,NA,NA,NA
