"","unq","stocklong.x","stockid.x","assessid.x","tsyear.x","tsid.x","tsvalue.x","bioid.x","biovalue.x","ratio.x","region.x","stocklong.y","stockid.y","assessid.y","tsyear.y","tsid.y","tsvalue.y","bioid.y","biovalue.y","ratio.y","region.y","overfished","s.o"
"24","arrowtooth flounder pacific coast 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2007,"SSB-MT",63301.5,"SSBmsy-MT",16593,3.81495208822998,"west","not overfished","not overfished arrowtooth flounder pacific coast"
"62","aurora rockfish pacific coast 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aurora rockfish pacific coast","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA",2013,"SSB-MT",1673,"SSBmsy-MT",648,2.58179012345679,"west","not overfished","not overfished aurora rockfish pacific coast"
"77","black rockfish southern pacific coast 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"black rockfish southern pacific coast","BLACKROCKSPCOAST","NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH",2007,"SSB-E6larvae",3226.5,"SSBmsy-E6larvae",1444.6,2.23349023951267,"west","not overfished","not overfished black rockfish southern pacific coast"
"78","blackgill rockfish  pacific coast 2000","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2000,"F-1/T",0.0152502,"Fmsy-1/yr",0.04,0.381255,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","blackgill rockfish  pacific coast 2001","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2001,"F-1/T",0.0223552,"Fmsy-1/yr",0.04,0.55888,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","blackgill rockfish  pacific coast 2002","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2002,"F-1/T",0.0246636,"Fmsy-1/yr",0.04,0.61659,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","blackgill rockfish  pacific coast 2003","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2003,"F-1/T",0.0317204,"Fmsy-1/yr",0.04,0.79301,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","blackgill rockfish  pacific coast 2004","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2004,"F-1/T",0.0250044,"Fmsy-1/yr",0.04,0.62511,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","blackgill rockfish  pacific coast 2005","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2005,"F-1/T",0.014427,"Fmsy-1/yr",0.04,0.360675,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","blackgill rockfish  pacific coast 2006","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2006,"F-1/T",0.0151058,"Fmsy-1/yr",0.04,0.377645,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","blackgill rockfish  pacific coast 2007","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2007,"F-1/T",0.0075841,"Fmsy-1/yr",0.04,0.1896025,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","blackgill rockfish  pacific coast 2008","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2008,"F-1/T",0.0116024,"Fmsy-1/yr",0.04,0.29006,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","blackgill rockfish  pacific coast 2009","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2009,"F-1/T",0.0204416,"Fmsy-1/yr",0.04,0.51104,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","blackgill rockfish  pacific coast 2010","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2010,"F-1/T",0.0227145,"Fmsy-1/yr",0.04,0.5678625,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
