"","unq","f.ratio","f.msy","fmsy.id","f","f.ts","stocklong.x","stocklong.y","stockid","assessid","year","b.ts","b","bmsy.id","b.msy","b.ratio","region","overfished","bmsy.status","fmsy.status","rebuilding"
"11","acadian redfish gulf of maine / georges bank 2000",0.21246675,0.04,"Fmsy-1/yr",0.00849867,"F-1/yr","acadian redfish gulf of maine / georges bank","acadian redfish gulf of maine / georges bank","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2000,"SSB-MT",60380.8,"SSBmsy-MT",271000,0.222807380073801,"ne","Overfished","below","none","not"
"2","acadian redfish gulf of maine / georges bank 2001",0.250005,0.04,"Fmsy-1/yr",0.0100002,"F-1/yr","acadian redfish gulf of maine / georges bank","acadian redfish gulf of maine / georges bank","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2001,"SSB-MT",75578.1,"SSBmsy-MT",271000,0.278885977859779,"ne","Overfished","below","none","not"
"3","acadian redfish gulf of maine / georges bank 2002",0.138395,0.04,"Fmsy-1/yr",0.0055358,"F-1/yr","acadian redfish gulf of maine / georges bank","acadian redfish gulf of maine / georges bank","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2002,"SSB-MT",92938.5,"SSBmsy-MT",271000,0.342946494464945,"ne","Overfished","below","none","not"
"4","acadian redfish gulf of maine / georges bank 2003",0.13257875,0.04,"Fmsy-1/yr",0.00530315,"F-1/yr","acadian redfish gulf of maine / georges bank","acadian redfish gulf of maine / georges bank","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2003,"SSB-MT",113478,"SSBmsy-MT",271000,0.418738007380074,"ne","Overfished","below","none","not"
"5","acadian redfish gulf of maine / georges bank 2004",0.1020115,0.04,"Fmsy-1/yr",0.00408046,"F-1/yr","acadian redfish gulf of maine / georges bank","acadian redfish gulf of maine / georges bank","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2004,"SSB-MT",137858,"SSBmsy-MT",271000,0.50870110701107,"ne","not overfished","below","none","not"
"6","acadian redfish gulf of maine / georges bank 2005",0.10624175,0.04,"Fmsy-1/yr",0.00424967,"F-1/yr","acadian redfish gulf of maine / georges bank","acadian redfish gulf of maine / georges bank","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2005,"SSB-MT",166468,"SSBmsy-MT",271000,0.614273062730627,"ne","not overfished","below","none","not"
"7","acadian redfish gulf of maine / georges bank 2006",0.08619625,0.04,"Fmsy-1/yr",0.00344785,"F-1/yr","acadian redfish gulf of maine / georges bank","acadian redfish gulf of maine / georges bank","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2006,"SSB-MT",199012,"SSBmsy-MT",271000,0.734361623616236,"ne","not overfished","below","none","not"
"8","acadian redfish gulf of maine / georges bank 2007",0.125,0.04,"Fmsy-1/yr",0.005,"F-1/yr","acadian redfish gulf of maine / georges bank","acadian redfish gulf of maine / georges bank","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2007,"SSB-MT",234609,"SSBmsy-MT",271000,0.865715867158672,"ne","not overfished","below","none","not"
"8.1","acadian redfish gulf of maine / georges bank 2007",0.125,0.04,"Fmsy-1/yr",0.005,"F-1/yr","acadian redfish gulf of maine / georges bank","acadian redfish gulf of maine / georges bank","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2008,"SSB-MT",234609,"SSBmsy-MT",271000,0.865715867158672,"ne","not overfished","below","none","not"
"8.2","acadian redfish gulf of maine / georges bank 2007",0.125,0.04,"Fmsy-1/yr",0.005,"F-1/yr","acadian redfish gulf of maine / georges bank","acadian redfish gulf of maine / georges bank","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2009,"SSB-MT",234609,"SSBmsy-MT",271000,0.865715867158672,"ne","not overfished","below","none","not"
"8.3","acadian redfish gulf of maine / georges bank 2007",0.125,0.04,"Fmsy-1/yr",0.005,"F-1/yr","acadian redfish gulf of maine / georges bank","acadian redfish gulf of maine / georges bank","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2010,"SSB-MT",234609,"SSBmsy-MT",271000,0.865715867158672,"ne","not overfished","below","none","not"
"8.4","acadian redfish gulf of maine / georges bank 2007",0.125,0.04,"Fmsy-1/yr",0.005,"F-1/yr","acadian redfish gulf of maine / georges bank","acadian redfish gulf of maine / georges bank","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2011,"SSB-MT",234609,"SSBmsy-MT",271000,0.865715867158672,"ne","not overfished","below","none","not"
"8.5","acadian redfish gulf of maine / georges bank 2007",0.125,0.04,"Fmsy-1/yr",0.005,"F-1/yr","acadian redfish gulf of maine / georges bank","acadian redfish gulf of maine / georges bank","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2012,"SSB-MT",234609,"SSBmsy-MT",271000,0.865715867158672,"ne","not overfished","below","none","not"
"8.6","acadian redfish gulf of maine / georges bank 2007",0.125,0.04,"Fmsy-1/yr",0.005,"F-1/yr","acadian redfish gulf of maine / georges bank","acadian redfish gulf of maine / georges bank","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2013,"SSB-MT",234609,"SSBmsy-MT",271000,0.865715867158672,"ne","not overfished","below","none","not"
"9","american plaice nafo-5yz 2000",2.78947368421053,0.19,"Fmsy-1/yr",0.53,"F-unweighted-1/T","american plaice nafo-5yz","american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN",2000,"SSB-MT",10512.18,"SSBmsy-MT",22243,0.472606213190667,"ne","Overfished","below","high","not"
"10","american plaice nafo-5yz 2001",3,0.19,"Fmsy-1/yr",0.57,"F-unweighted-1/T","american plaice nafo-5yz","american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN",2001,"SSB-MT",10647.87,"SSBmsy-MT",22243,0.478706559366992,"ne","Overfished","below","high","not"
"111","american plaice nafo-5yz 2002",2.57894736842105,0.19,"Fmsy-1/yr",0.49,"F-unweighted-1/T","american plaice nafo-5yz","american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN",2002,"SSB-MT",9183.34,"SSBmsy-MT",22243,0.412864271905768,"ne","Overfished","below","high","not"
"12","american plaice nafo-5yz 2003",2.52631578947368,0.19,"Fmsy-1/yr",0.48,"F-unweighted-1/T","american plaice nafo-5yz","american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN",2003,"SSB-MT",8843.35,"SSBmsy-MT",22243,0.397579013622263,"ne","Overfished","below","high","not"
"13","american plaice nafo-5yz 2004",1.68421052631579,0.19,"Fmsy-1/yr",0.32,"F-unweighted-1/T","american plaice nafo-5yz","american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN",2004,"SSB-MT",8560.17,"SSBmsy-MT",22243,0.384847817290833,"ne","Overfished","below","high","not"
"14","american plaice nafo-5yz 2005",0.842105263157895,0.19,"Fmsy-1/yr",0.16,"F-unweighted-1/T","american plaice nafo-5yz","american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN",2005,"SSB-MT",9266.34,"SSBmsy-MT",22243,0.416595782942948,"ne","Overfished","below","none","not"
"15","american plaice nafo-5yz 2006",0.684210526315789,0.19,"Fmsy-1/yr",0.13,"F-unweighted-1/T","american plaice nafo-5yz","american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN",2006,"SSB-MT",11798.73,"SSBmsy-MT",22243,0.530446882165176,"ne","not overfished","below","none","not"
"16","american plaice nafo-5yz 2007",0.315789473684211,0.19,"Fmsy-1/yr",0.06,"F-unweighted-1/T","american plaice nafo-5yz","american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN",2007,"SSB-MT",15659.02,"SSBmsy-MT",22243,0.703997662185856,"ne","not overfished","below","none","not"
"16.1","american plaice nafo-5yz 2007",0.315789473684211,0.19,"Fmsy-1/yr",0.06,"F-unweighted-1/T","american plaice nafo-5yz","american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN",2008,"SSB-MT",15659.02,"SSBmsy-MT",22243,0.703997662185856,"ne","not overfished","below","none","not"
"16.2","american plaice nafo-5yz 2007",0.315789473684211,0.19,"Fmsy-1/yr",0.06,"F-unweighted-1/T","american plaice nafo-5yz","american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN",2009,"SSB-MT",15659.02,"SSBmsy-MT",22243,0.703997662185856,"ne","not overfished","below","none","not"
"16.3","american plaice nafo-5yz 2007",0.315789473684211,0.19,"Fmsy-1/yr",0.06,"F-unweighted-1/T","american plaice nafo-5yz","american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN",2010,"SSB-MT",15659.02,"SSBmsy-MT",22243,0.703997662185856,"ne","not overfished","below","none","not"
"16.4","american plaice nafo-5yz 2007",0.315789473684211,0.19,"Fmsy-1/yr",0.06,"F-unweighted-1/T","american plaice nafo-5yz","american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN",2011,"SSB-MT",15659.02,"SSBmsy-MT",22243,0.703997662185856,"ne","not overfished","below","none","not"
