"","unq","f.ratio","f.msy","fmsy.id","f","f.ts","stocklong.x","stocklong.y","stockid","assessid","year","b.ts","b","bmsy.id","b.msy","b.ratio","region","overfished","bmsy.status","fmsy.status","rebuilding"
"23.1","arrowtooth flounder pacific coast 2006",0.20952380952381,0.21,"Fmsy-1/yr",0.044,"F-1/yr","arrowtooth flounder pacific coast","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2007,"SSB-MT",60633.4,"SSBmsy-MT",16593,3.65415536672091,"west","not overfished","above","none","not"
"23.2","arrowtooth flounder pacific coast 2006",0.20952380952381,0.21,"Fmsy-1/yr",0.044,"F-1/yr","arrowtooth flounder pacific coast","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2008,"SSB-MT",60633.4,"SSBmsy-MT",16593,3.65415536672091,"west","not overfished","above","none","not"
"23.3","arrowtooth flounder pacific coast 2006",0.20952380952381,0.21,"Fmsy-1/yr",0.044,"F-1/yr","arrowtooth flounder pacific coast","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2009,"SSB-MT",60633.4,"SSBmsy-MT",16593,3.65415536672091,"west","not overfished","above","none","not"
"23.4","arrowtooth flounder pacific coast 2006",0.20952380952381,0.21,"Fmsy-1/yr",0.044,"F-1/yr","arrowtooth flounder pacific coast","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2010,"SSB-MT",60633.4,"SSBmsy-MT",16593,3.65415536672091,"west","not overfished","above","none","not"
"23.5","arrowtooth flounder pacific coast 2006",0.20952380952381,0.21,"Fmsy-1/yr",0.044,"F-1/yr","arrowtooth flounder pacific coast","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2011,"SSB-MT",60633.4,"SSBmsy-MT",16593,3.65415536672091,"west","not overfished","above","none","not"
"23.6","arrowtooth flounder pacific coast 2006",0.20952380952381,0.21,"Fmsy-1/yr",0.044,"F-1/yr","arrowtooth flounder pacific coast","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2012,"SSB-MT",60633.4,"SSBmsy-MT",16593,3.65415536672091,"west","not overfished","above","none","not"
"23.7","arrowtooth flounder pacific coast 2006",0.20952380952381,0.21,"Fmsy-1/yr",0.044,"F-1/yr","arrowtooth flounder pacific coast","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2013,"SSB-MT",60633.4,"SSBmsy-MT",16593,3.65415536672091,"west","not overfished","above","none","not"
"61.1","aurora rockfish pacific coast 2012",0.194117647058824,0.051,"Umsy-ratio",0.0099,"U-ratio","aurora rockfish pacific coast","aurora rockfish pacific coast","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA",2013,"SSB-MT",1669,"SSBmsy-MT",648,2.57561728395062,"west","not overfished","above","none","not"
"69.1","black rockfish northern pacific coast 2006",0.468085106382979,0.141,"Fmsy-1/yr",0.066,"F-1/yr","black rockfish northern pacific coast","black rockfish northern pacific coast","BLACKROCKNPCOAST","NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH",2007,"SB-MT",9063,"SBmsy-MT",4947,1.83201940570042,"west","not overfished","above","none","not"
"69.2","black rockfish northern pacific coast 2006",0.468085106382979,0.141,"Fmsy-1/yr",0.066,"F-1/yr","black rockfish northern pacific coast","black rockfish northern pacific coast","BLACKROCKNPCOAST","NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH",2008,"SB-MT",9063,"SBmsy-MT",4947,1.83201940570042,"west","not overfished","above","none","not"
