"","stocklong","stockid","assessid","tsyear","tsid","tsvalue","bioid","biovalue","ratio","region"
"226","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2005,"F-1/yr",0.062,"Fmsy-1/yr",0.21,0.295238095238095,"west"
"227","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1930,"F-1/yr",0,"Fmsy-1/yr",0.21,0,"west"
"228","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1925,"F-1/yr",0,"Fmsy-1/yr",0.21,0,"west"
"229","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1928,"F-1/yr",0,"Fmsy-1/yr",0.21,0,"west"
"230","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1929,"F-1/yr",0,"Fmsy-1/yr",0.21,0,"west"
"231","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1924,"F-1/yr",0,"Fmsy-1/yr",0.21,0,"west"
"232","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1919,"F-1/yr",0,"Fmsy-1/yr",0.21,0,"west"
"233","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1920,"F-1/yr",0,"Fmsy-1/yr",0.21,0,"west"
"234","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1917,"F-1/yr",0,"Fmsy-1/yr",0.21,0,"west"
"235","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1918,"F-1/yr",0,"Fmsy-1/yr",0.21,0,"west"
"236","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1976,"F-1/yr",0.062,"Fmsy-1/yr",0.21,0.295238095238095,"west"
"237","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1977,"F-1/yr",0.05,"Fmsy-1/yr",0.21,0.238095238095238,"west"
"238","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1926,"F-1/yr",0,"Fmsy-1/yr",0.21,0,"west"
"239","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1923,"F-1/yr",0,"Fmsy-1/yr",0.21,0,"west"
"241","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2006,"F-1/yr",0.044,"Fmsy-1/yr",0.21,0.20952380952381,"west"
"242","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1927,"F-1/yr",0,"Fmsy-1/yr",0.21,0,"west"
"243","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1967,"F-1/yr",0.037,"Fmsy-1/yr",0.21,0.176190476190476,"west"
"244","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1968,"F-1/yr",0.033,"Fmsy-1/yr",0.21,0.157142857142857,"west"
"245","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1969,"F-1/yr",0.037,"Fmsy-1/yr",0.21,0.176190476190476,"west"
"246","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1970,"F-1/yr",0.037,"Fmsy-1/yr",0.21,0.176190476190476,"west"
"247","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1921,"F-1/yr",0,"Fmsy-1/yr",0.21,0,"west"
"248","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1922,"F-1/yr",0,"Fmsy-1/yr",0.21,0,"west"
"249","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2002,"F-1/yr",0.079,"Fmsy-1/yr",0.21,0.376190476190476,"west"
"250","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2003,"F-1/yr",0.082,"Fmsy-1/yr",0.21,0.390476190476191,"west"
"251","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2004,"F-1/yr",0.076,"Fmsy-1/yr",0.21,0.361904761904762,"west"
"252","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1963,"F-1/yr",0.04,"Fmsy-1/yr",0.21,0.19047619047619,"west"
"253","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1964,"F-1/yr",0.045,"Fmsy-1/yr",0.21,0.214285714285714,"west"
"254","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1965,"F-1/yr",0.038,"Fmsy-1/yr",0.21,0.180952380952381,"west"
"255","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1966,"F-1/yr",0.039,"Fmsy-1/yr",0.21,0.185714285714286,"west"
"256","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1982,"F-1/yr",0.101,"Fmsy-1/yr",0.21,0.480952380952381,"west"
"257","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1983,"F-1/yr",0.088,"Fmsy-1/yr",0.21,0.419047619047619,"west"
"258","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1984,"F-1/yr",0.09,"Fmsy-1/yr",0.21,0.428571428571429,"west"
"259","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1985,"F-1/yr",0.096,"Fmsy-1/yr",0.21,0.457142857142857,"west"
"260","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1971,"F-1/yr",0.04,"Fmsy-1/yr",0.21,0.19047619047619,"west"
"261","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1972,"F-1/yr",0.052,"Fmsy-1/yr",0.21,0.247619047619048,"west"
