"","unq","f.ratio","f.msy","fmsy.id","f","f.ts","stocklong.x","stocklong.y","stockid","assessid","year","b.ts","b","bmsy.id","b.msy","b.ratio","region"
"1","acadian redfish gulf of maine / georges bank 2000",0.21246675,0.04,"Fmsy-1/yr",0.00849867,"F-1/yr","acadian redfish gulf of maine / georges bank","acadian redfish gulf of maine / georges bank","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2000,"SSB-MT",60380.8,"SSBmsy-MT",271000,0.222807380073801,"ne"
"2","acadian redfish gulf of maine / georges bank 2001",0.250005,0.04,"Fmsy-1/yr",0.0100002,"F-1/yr","acadian redfish gulf of maine / georges bank","acadian redfish gulf of maine / georges bank","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2001,"SSB-MT",75578.1,"SSBmsy-MT",271000,0.278885977859779,"ne"
"3","acadian redfish gulf of maine / georges bank 2002",0.138395,0.04,"Fmsy-1/yr",0.0055358,"F-1/yr","acadian redfish gulf of maine / georges bank","acadian redfish gulf of maine / georges bank","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2002,"SSB-MT",92938.5,"SSBmsy-MT",271000,0.342946494464945,"ne"
"4","acadian redfish gulf of maine / georges bank 2003",0.13257875,0.04,"Fmsy-1/yr",0.00530315,"F-1/yr","acadian redfish gulf of maine / georges bank","acadian redfish gulf of maine / georges bank","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2003,"SSB-MT",113478,"SSBmsy-MT",271000,0.418738007380074,"ne"
"5","acadian redfish gulf of maine / georges bank 2004",0.1020115,0.04,"Fmsy-1/yr",0.00408046,"F-1/yr","acadian redfish gulf of maine / georges bank","acadian redfish gulf of maine / georges bank","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2004,"SSB-MT",137858,"SSBmsy-MT",271000,0.50870110701107,"ne"
"6","acadian redfish gulf of maine / georges bank 2005",0.10624175,0.04,"Fmsy-1/yr",0.00424967,"F-1/yr","acadian redfish gulf of maine / georges bank","acadian redfish gulf of maine / georges bank","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2005,"SSB-MT",166468,"SSBmsy-MT",271000,0.614273062730627,"ne"
"7","acadian redfish gulf of maine / georges bank 2006",0.08619625,0.04,"Fmsy-1/yr",0.00344785,"F-1/yr","acadian redfish gulf of maine / georges bank","acadian redfish gulf of maine / georges bank","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2006,"SSB-MT",199012,"SSBmsy-MT",271000,0.734361623616236,"ne"
"8","acadian redfish gulf of maine / georges bank 2007",0.125,0.04,"Fmsy-1/yr",0.005,"F-1/yr","acadian redfish gulf of maine / georges bank","acadian redfish gulf of maine / georges bank","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2007,"SSB-MT",234609,"SSBmsy-MT",271000,0.865715867158672,"ne"
"9","american plaice nafo-5yz 2000",2.78947368421053,0.19,"Fmsy-1/yr",0.53,"F-unweighted-1/T","american plaice nafo-5yz","american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN",2000,"SSB-MT",10512.18,"SSBmsy-MT",22243,0.472606213190667,"ne"
"10","american plaice nafo-5yz 2001",3,0.19,"Fmsy-1/yr",0.57,"F-unweighted-1/T","american plaice nafo-5yz","american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN",2001,"SSB-MT",10647.87,"SSBmsy-MT",22243,0.478706559366992,"ne"
