"","stockid","assessid","stocklong","bioid","biovalue"
"1","ATLCROAKMATLC","ASMFC-ATLCROAKMATLC-1973-2002-STANTON","Atlantic croaker Mid-Atlantic Coast","Fmsy-1/yr",0.407
"2","ATLCROAKMATLC","ASMFC-ATLCROAKMATLC-1973-2002-STANTON","Atlantic croaker Mid-Atlantic Coast","SSBmsy-MT",56467
"3","PANDALGOM","ASMFC-PANDALGOM-1960-2009-IDOINE","Northern shrimp Gulf of Maine","Fmsy-1/yr",0.1672
"4","PANDALGOM","ASMFC-PANDALGOM-1960-2009-IDOINE","Northern shrimp Gulf of Maine","Bmsy-MT",29920
"5","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","MSY-MT",10139
"6","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSBmsy-MT",271000
"7","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","Fmsy-1/yr",0.04
"8","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","American Plaice NAFO-5YZ","MSY-MT",4059
"9","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","American Plaice NAFO-5YZ","SSBmsy-MT",22243
"10","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","American Plaice NAFO-5YZ","Fmsy-1/yr",0.19
"11","ATHAL5YZ","NEFSC-ATHAL5YZ-1800-2007-COL","Atlantic Halibut NAFO-5YZ","Bmsy-MT",49000
"12","ATHAL5YZ","NEFSC-ATHAL5YZ-1800-2007-COL","Atlantic Halibut NAFO-5YZ","Fmsy-1/yr",0.06
"13","ATHAL5YZ","NEFSC-ATHAL5YZ-1800-2007-COL","Atlantic Halibut NAFO-5YZ","MSY-MT",3500
"14","ATHAL5YZ","NEFSC-ATHAL5YZ-1800-2007-COL","Atlantic Halibut NAFO-5YZ","SSBmsy-MT",49000
"15","BLUEFISHATLC","NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD","Bluefish Atlantic Coast","Bmsy-MT",147052
"16","BLUEFISHATLC","NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD","Bluefish Atlantic Coast","Fmsy-1/T",0.19
"17","BLUEFISHATLC","NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD","Bluefish Atlantic Coast","MSY-MT",15565
"18","BSBASSMATLC","NEFSC-BSBASSMATLC-1968-2007-SHEPHERD","Black sea bass Mid-Atlantic Coast","Bmsy-MT",12892.3
"19","BSBASSMATLC","NEFSC-BSBASSMATLC-1968-2007-SHEPHERD","Black sea bass Mid-Atlantic Coast","MSY-MT",3903
"20","BSBASSMATLC","NEFSC-BSBASSMATLC-1968-2007-SHEPHERD","Black sea bass Mid-Atlantic Coast","Fmsy-1/T",0.42
"21","BSBASSMATLC","NEFSC-BSBASSMATLC-1968-2007-SHEPHERD","Black sea bass Mid-Atlantic Coast","SSBmsy-MT",12537
"22","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","Atlantic butterfish Gulf of Maine / Cape Hatteras","Bmsy-MT",22798
"23","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","Atlantic butterfish Gulf of Maine / Cape Hatteras","Fmsy-1/yr",0.38
"24","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","Atlantic butterfish Gulf of Maine / Cape Hatteras","MSY-MT",12175
"34","HADGB","NEFSC-HADGB-1930-2008-BAUM","Haddock Georges Bank","MSY-MT",52900
"35","HADGB","NEFSC-HADGB-1930-2008-BAUM","Haddock Georges Bank","Fmsy-1/T",0.26
"36","HADGB","NEFSC-HADGB-1930-2008-BAUM","Haddock Georges Bank","SSBmsy-MT",158873
"37","HERRNWATLC","NEFSC-HERRNWATLC-1960-2005-OVERHOLTZ","Atlantic herring Northwestern Atlantic Coast","Fmsy-1/T",0.31
"38","HERRNWATLC","NEFSC-HERRNWATLC-1960-2005-OVERHOLTZ","Atlantic herring Northwestern Atlantic Coast","MSY-MT",194000
"39","HERRNWATLC","NEFSC-HERRNWATLC-1960-2005-OVERHOLTZ","Atlantic herring Northwestern Atlantic Coast","SSBmsy-MT",629000
"40","MACKGOMCHATT","NEFSC-MACKGOMCHATT-1960-2005-OVERHOLTZ","Atlantic mackerel Gulf of Maine / Cape Hatteras","Fmsy-1/yr",0.16
"41","MACKGOMCHATT","NEFSC-MACKGOMCHATT-1960-2005-OVERHOLTZ","Atlantic mackerel Gulf of Maine / Cape Hatteras","MSY-MT",89000
"42","MACKGOMCHATT","NEFSC-MACKGOMCHATT-1960-2005-OVERHOLTZ","Atlantic mackerel Gulf of Maine / Cape Hatteras","SSBmsy-MT",644000
"43","MONK5YCHATT","NEFSC-MONK5YCHATT-1980-2009-PROVOST","Monkfish Gulf of Maine / Cape Hatteras","Bmsy-MT",129002
"44","MONK5YCHATT","NEFSC-MONK5YCHATT-1980-2009-PROVOST","Monkfish Gulf of Maine / Cape Hatteras","Fmsy-1/yr",0.2
"45","MONK5YCHATT","NEFSC-MONK5YCHATT-1980-2009-PROVOST","Monkfish Gulf of Maine / Cape Hatteras","MSY-MT",25943
"46","MONKGOMNGB","NEFSC-MONKGOMNGB-1964-2006-RICHARDS","Monkfish Gulf of Maine / Northern Georges Bank","Bmsy-MT",49000
