"","stockid","assessid","stocklong","bioid","biovalue"
"1","ATLCROAKMATLC","ASMFC-ATLCROAKMATLC-1973-2002-STANTON","atlantic croaker mid-atlantic coast","Fmsy-1/yr",0.407
"2","ATLCROAKMATLC","ASMFC-ATLCROAKMATLC-1973-2002-STANTON","atlantic croaker mid-atlantic coast","SSBmsy-MT",56467
"3","PANDALGOM","ASMFC-PANDALGOM-1960-2009-IDOINE","northern shrimp gulf of maine","Fmsy-1/yr",0.1672
"4","PANDALGOM","ASMFC-PANDALGOM-1960-2009-IDOINE","northern shrimp gulf of maine","Bmsy-MT",29920
"5","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","acadian redfish gulf of maine / georges bank","MSY-MT",10139
"6","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","acadian redfish gulf of maine / georges bank","SSBmsy-MT",271000
"7","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","acadian redfish gulf of maine / georges bank","Fmsy-1/yr",0.04
"8","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","MSY-MT",4059
"9","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSBmsy-MT",22243
"10","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","Fmsy-1/yr",0.19
"11","ATHAL5YZ","NEFSC-ATHAL5YZ-1800-2007-COL","atlantic halibut nafo-5yz","Bmsy-MT",49000
"12","ATHAL5YZ","NEFSC-ATHAL5YZ-1800-2007-COL","atlantic halibut nafo-5yz","Fmsy-1/yr",0.06
"13","ATHAL5YZ","NEFSC-ATHAL5YZ-1800-2007-COL","atlantic halibut nafo-5yz","MSY-MT",3500
"14","ATHAL5YZ","NEFSC-ATHAL5YZ-1800-2007-COL","atlantic halibut nafo-5yz","SSBmsy-MT",49000
"15","BLUEFISHATLC","NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD","bluefish atlantic coast","Bmsy-MT",147052
"16","BLUEFISHATLC","NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD","bluefish atlantic coast","Fmsy-1/T",0.19
"17","BLUEFISHATLC","NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD","bluefish atlantic coast","MSY-MT",15565
"18","BSBASSMATLC","NEFSC-BSBASSMATLC-1968-2007-SHEPHERD","black sea bass mid-atlantic coast","Bmsy-MT",12892.3
"19","BSBASSMATLC","NEFSC-BSBASSMATLC-1968-2007-SHEPHERD","black sea bass mid-atlantic coast","MSY-MT",3903
"20","BSBASSMATLC","NEFSC-BSBASSMATLC-1968-2007-SHEPHERD","black sea bass mid-atlantic coast","Fmsy-1/T",0.42
"21","BSBASSMATLC","NEFSC-BSBASSMATLC-1968-2007-SHEPHERD","black sea bass mid-atlantic coast","SSBmsy-MT",12537
"22","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","Bmsy-MT",22798
"23","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","Fmsy-1/yr",0.38
"24","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","MSY-MT",12175
"34","HADGB","NEFSC-HADGB-1930-2008-BAUM","haddock georges bank","MSY-MT",52900
"35","HADGB","NEFSC-HADGB-1930-2008-BAUM","haddock georges bank","Fmsy-1/T",0.26
"36","HADGB","NEFSC-HADGB-1930-2008-BAUM","haddock georges bank","SSBmsy-MT",158873
"37","HERRNWATLC","NEFSC-HERRNWATLC-1960-2005-OVERHOLTZ","atlantic herring northwestern atlantic coast","Fmsy-1/T",0.31
"38","HERRNWATLC","NEFSC-HERRNWATLC-1960-2005-OVERHOLTZ","atlantic herring northwestern atlantic coast","MSY-MT",194000
"39","HERRNWATLC","NEFSC-HERRNWATLC-1960-2005-OVERHOLTZ","atlantic herring northwestern atlantic coast","SSBmsy-MT",629000
"40","MACKGOMCHATT","NEFSC-MACKGOMCHATT-1960-2005-OVERHOLTZ","atlantic mackerel gulf of maine / cape hatteras","Fmsy-1/yr",0.16
"41","MACKGOMCHATT","NEFSC-MACKGOMCHATT-1960-2005-OVERHOLTZ","atlantic mackerel gulf of maine / cape hatteras","MSY-MT",89000
"42","MACKGOMCHATT","NEFSC-MACKGOMCHATT-1960-2005-OVERHOLTZ","atlantic mackerel gulf of maine / cape hatteras","SSBmsy-MT",644000
"43","MONK5YCHATT","NEFSC-MONK5YCHATT-1980-2009-PROVOST","monkfish gulf of maine / cape hatteras","Bmsy-MT",129002
"44","MONK5YCHATT","NEFSC-MONK5YCHATT-1980-2009-PROVOST","monkfish gulf of maine / cape hatteras","Fmsy-1/yr",0.2
"45","MONK5YCHATT","NEFSC-MONK5YCHATT-1980-2009-PROVOST","monkfish gulf of maine / cape hatteras","MSY-MT",25943
"46","MONKGOMNGB","NEFSC-MONKGOMNGB-1964-2006-RICHARDS","monkfish gulf of maine / northern georges bank","Bmsy-MT",49000
"47","MONKGOMNGB","NEFSC-MONKGOMNGB-1964-2006-RICHARDS","monkfish gulf of maine / northern georges bank","Fmsy-1/T",0.2
"48","MONKGOMNGB","NEFSC-MONKGOMNGB-1964-2006-RICHARDS","monkfish gulf of maine / northern georges bank","MSY-MT",3500
