"","stockid","assessid","stocklong","tsid","tsyear","tsvalue"
"1","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1913,"0.0000113"
"2","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1914,"0.0000466"
"3","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1915,"0.0000629"
"4","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1916,"0.0000831"
"5","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1917,"0.000128972"
"6","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1918,"0.000114125"
"7","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1919,"0.0000388"
"8","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1920,"0.000048"
"9","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1921,"0.0000196"
"10","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1922,"0.0000134"
"11","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1923,"0.0000108"
"12","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1924,"0.000062"
"13","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1925,"0.0000386"
"14","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1926,"0.0000464"
"15","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1927,"0.0000468"
"16","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1928,"0.0000889"
"17","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1929,"0.0000527"
"18","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1930,"0.0000837"
"19","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1931,"0.000167353"
"20","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1932,"0.0000932"
"21","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1933,"0.000186247"
"22","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1934,"0.000806143"
"23","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1935,"0.0117904"
"24","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1936,"0.0370214"
"25","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1937,"0.0243946"
"26","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1938,"0.0349132"
"27","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1939,"0.0445806"
"28","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1940,"0.0490079"
"29","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1941,"0.0995626"
"30","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1942,"0.121287"
"31","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1943,"0.11685"
"32","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1944,"0.136228"
"33","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1945,"0.11382"
"34","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1946,"0.141126"
"35","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1947,"0.149861"
"36","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1948,"0.185337"
"37","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1949,"0.14757"
"38","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1950,"0.184425"
"39","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1951,"0.182792"
"40","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1952,"0.142785"
"41","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1953,"0.118622"
"42","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1954,"0.0943276"
"43","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1955,"0.102695"
"44","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1956,"0.108495"
